0.0176048,0.0136072,0.0160561,0.952732,
0.0179886,0.069063,0.0163687,0.89658,
0.0179676,0.0750144,0.0163459,0.890672,
0.0178539,0.0155764,0.0162626,0.950307,
0.0181142,0.0191398,0.0164742,0.946272,
0.0178518,0.0149921,0.0162674,0.950889,
0.0181367,0.103204,0.860973,0.0176867,
0.0180308,0.0176766,0.94678,0.0175122,
0.0180946,0.0156922,0.94861,0.0176035,
0.0181665,0.0183541,0.94585,0.0176291,
0.0181245,0.0146759,0.949594,0.0176052,
0.0179861,0.0151897,0.949388,0.017436,
0.950843,0.0156781,0.0162144,0.0172647,
0.953009,0.0137411,0.0161116,0.0171382,
0.952751,0.0138514,0.0161784,0.0172197,
0.93001,0.0364452,0.0162385,0.0173067,
0.951479,0.0149366,0.0162553,0.0173293,
0.939703,0.0263451,0.0164092,0.0175422,
