TSt	TS	UMt	UM	SOt	SO
9.95	59465.5	13.6167	30202.3		
9.98333	59408.9	13.6833	30194.6		
10.0333	59379.5	13.7333	30201.3		
10.0667	59193.9	13.8	30192.8		
10.1167	59146.2	13.85	30202.5		
10.15	59176.7	13.9167	30204.1		
10.2	59167.5	13.9667	30218.3		
10.2333	59162.2	14.0333	30206.2		
10.2833	58811.9	14.0833	30101.1		
10.3167	58543.6	14.15	30094.1		
10.3667	58525	14.2	30096.1		
10.4	58489.3	14.2667	30088.2		
10.45	58464.5	14.3167	29999.5		
10.4833	58406.7	14.3833	29911.1		
10.5333	58419.4	14.4333	29923.9		
10.5667	58290.4	14.5	29937.9		
10.6167	58165.2	14.55	29919.9		
10.6667	57890.5	14.6167	29881.1		
10.7	57840.8	14.6667	29891.7		
10.75	57668.9	14.7333	29889.9		
10.7833	57656.6	14.7833	29842.4		
10.8333	57445.3	14.85	29763.7		
10.8667	57464.2	14.9	29670.4		
10.9333	57419.6	14.9667	29673.1		
10.9667	57160.1	15.0167	29685.4		
11.0167	57128.2	15.0833	29688.4		
11.0667	57085.1	15.1333	29704.3		
11.1	57067.8	15.2	29700.2		
11.15	57072.7	15.25	29693		
11.1833	57024.6	15.3167	29608.5		
11.25	56980.8	15.3667	29599.5		
11.2833	56955.9	15.4333	29599.7		
11.3333	56970.7	15.4833	29593.4		
11.3667	56840.1	15.55	29594.7		
11.4167	56840.4	15.6	29585.6		
11.4667	56737.7	15.6667	29576.6		
11.5	56742.1	15.7167	29562.9		
11.55	56634.8	15.7833	29546		
11.5833	56631.5	15.8333	29453.7		
11.6333	56639.4	15.9	29434.2		
11.6667	56634.2	15.95	29435.3		
11.7167	56640.8	16.0167	29440.8		
11.75	56563.1	16.0667	29441.7		
11.8	56555.9	16.1333	29444.1		
11.8333	56529.3	16.1833	29443.2		
11.8833	56459.4	16.25	29443.6		
11.9167	56449.5	16.3	29444.7		
11.9667	56416.5	16.3667	29443.9		
12	56372.5	16.4167	29444.9		
12.05	56367	16.4833	29444.6		
12.0833	56342.1	16.5333	29438.2		
12.1333	56326.7	16.6	29433.2		
12.1667	56259	16.65	29432.2		
12.2167	56215.6	16.7167	29338.4		
12.25	56203.9	16.7667	29334.9		
12.3	56159.4	16.8333	29338.1		
12.3333	56142.6	16.8833	29341.3		
12.3833	56106.2	16.95	29340.5		
12.4333	56039.7	17	29338.7		
12.4667	55937.6	17.0667	29337.1		
12.5	55957	17.1167	29339.4		
12.55	55767	17.1833	29252		
12.6	55797.4	17.2333	29253.4		
12.65	55752.1	17.3	29253.8		
12.7	55659.1	17.35	29254.8		
12.7333	55552.5	17.4167	29257.1		
12.7833	55464.7	17.4667	29253.8		
12.8333	55438.9	17.5333	29253.2		
12.8667	55342.3	17.5833	29252.7		
12.9167	55354.5	17.65	29250.7		
12.95	55304.9	17.7	29250.4		
13	55268.4	17.7667	29163.1		
13.0333	55261.3	17.8167	29164.1		
13.0833	55129.9	17.8833	29076.6		
13.1167	55074.6	17.9333	29077.2		
13.1667	54997.7	18	29077.4		
13.2167	54967.7	18.05	29077.9		
13.25	54978.8	18.1167	29078.8		
13.3	54937.4	18.1667	29079.1		
13.3333	54775.7	18.2333	29078.6		
13.3667	54742.2				
13.4167	54760.4				
13.4667	54766.6				
13.5	54706				
13.55	54692.8				
13.5833	54688.1				
13.6167	54681.4				
13.6667	54686.7				
13.7167	54653.2				
13.75	54654.7				
13.8	54603.8				
13.8333	54569.7				
13.8833	54462.4				
13.9167	54458.6				
13.9667	54459.5				
14	54430.3				
14.05	54425.1				
14.0833	54439.2				
14.1333	54462.3				
14.1833	54435.1				
14.2167	54387.2				
14.2667	54388.5				
14.3	54399.6				
14.35	54374.8				
14.3833	54343.2				
14.4333	54356.6				
14.4667	54351.4				
14.5167	54209.9				
14.55	54226.8				
14.6	54187.3				
14.6333	54055.7				
14.6833	54000.8				
14.7167	53991.4				
14.7667	53836.8				
14.8	53795.9				
14.85	53734.9				
14.8833	53679.9				
14.9333	53689.3				
14.9667	53694.9				
15.0167	53706.4				
15.0667	53721				
15.1	53708.8				
15.15	53693.6				
15.1833	53689.1				
15.2333	53673				
15.2667	53666.9				
15.3167	53665.6				
15.3667	53638.6				
15.4	53651.4				
15.45	53643.9				
15.4833	53635.7				
15.5167	53566.9				
15.5667	53570.6				
15.6167	53567.6				
15.6667	53537.5				
15.7167	53515.4				
15.75	53493.8				
15.8	53417.6				
15.8333	53387.7				
15.8833	53297				
15.9167	53287.7				
15.95	53135.9				
16.0167	53111.2				
16.0667	53106.6				
16.1	53073.1				
16.15	53072.9				
16.1833	53074.7				
16.2333	53058.1				
16.2833	53055.2				
16.3333	53044.4				
16.3667	53015.3				
16.4167	53005.3				
16.45	52994.3				
16.5	52995.1				
16.55	52958.8				
16.5833	52947.2				
16.6167	52947.4				
16.6667	52949.1				
16.7167	52937.7				
16.75	52897.6				
16.8	52905.4				
16.8333	52908.2				
16.8833	52920.8				
16.9167	52898				
16.95	52855.2				
17	52860.6				
17.05	52859.7				
17.0833	52862.6				
17.1333	52853.4				
17.1667	52845.8				
17.2333	52842.2				
17.2667	52820.5				
17.3167	52820.8				
17.35	52794.2				
17.4	52746.2				
17.45	52718.7				
17.4833	52721				
17.5333	52628				
17.5667	52635.2				
17.6167	52639.4				
17.65	52631				
17.7	52467.3				
17.7333	52465.8				
17.7833	52460.2				
17.8333	52435.7				
17.8667	52425.6				
17.9	52435.9				
17.95	52435.9				
18	52460				
18.0333	52435				
18.0833	52419.8				
18.1167	52430.7				
18.1667	52430.4				
18.2	52386.4				
18.25	52299.1				
18.3	52301.1				
18.3333	52294.8				
18.3833	52304.5				
18.4167	52307.1				
18.4667	52254.9				
18.5	52260.6				
