SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
3.58333	336012	-	10.55	5.26667	86839	3.93333	82139.8
3.61667	335131	-	11.2667	5.35	86604.2	3.98333	81743.3
3.65	333417	-	11.9833	5.4	86605.6	4.01667	81726.6
3.7	332804	-	12.6833	5.46667	86173.6	4.06667	81555.1
3.73333	332392	-	13.3833	5.51667	86191.6	4.11667	81252.6
3.76667	332092	-	-	5.56667	86097.3	4.15	81157.2
3.81667	331726	-	-	5.63333	86072.1	4.2	80872.1
3.85	331914	-	-	5.68333	85691.2	4.23333	80546.1
3.88333	331468	-	-	5.73333	85359.2	4.28333	80532.5
3.91667	331396	-	-	5.8	85498.7	4.31667	80266.1
3.96667	330627	-	-	5.85	85309.1	4.38333	78807.4
4	330342	-	-	5.9	84932.9	4.41667	78758.9
4.03333	329658	-	-	5.95	84854.2	4.46667	78639.6
4.08333	329409	-	-	6	84938.8	4.5	78360.8
4.11667	328677	-	-	6.06667	84778.1	4.55	78243.5
4.15	328804	-	-	6.11667	84478.9	4.58333	78012.9
4.2	328411	-	-	6.16667	84438.8	4.63333	77872.3
4.23333	326700	-	-	6.23333	84200.2	4.68333	77843
4.26667	326551	-	-	6.28333	84142.2	4.73333	77684.3
4.31667	326432	-	-	6.33333	84060.6	4.78333	77632.2
4.35	326678	-	-	6.4	83810.2	4.81667	77514.3
4.38333	326890	-	-	6.45	83580.5	4.86667	75868.9
4.43333	326673	-	-	6.5	83575.7	4.91667	75656
4.46667	326849	-	-	6.56667	79304.8	4.95	75462.5
4.5	327014	-	-	6.61667	79204.1	5.01667	75234.3
4.53333	327082	-	-	6.68333	79030.9	5.05	75091.9
4.58333	326968	-	-	6.73333	79004.1	5.1	74962.5
4.61667	326595	-	-	6.78333	78768.3	5.15	74781.1
4.65	326875	-	-	6.85	78769.6	5.18333	74607.4
4.7	326768	-	-	6.9	78611.3	5.23333	74624.9
4.73333	326943	-	-	6.95	78356.7	5.26667	74525.8
4.76667	326254	-	-	7.01667	78330.8	5.31667	74368.2
4.81667	326145	-	-	7.06667	78248.6	5.35	74312.2
4.85	325744	-	-	7.11667	78104.6	5.4	74317.4
4.88333	325825	-	-	7.2	77712.4	5.43333	74274.8
4.93333	325050	-	-	7.25	75937.3	5.48333	73973.4
4.96667	325326	-	-	7.31667	75668.3	5.53333	74090.2
5	325474	-	-	7.36667	75624.9	5.56667	74047.1
5.05	325724	-	-	7.41667	75402.3	5.61667	74018
5.08333	324891	-	-	7.48333	75366.9	5.65	73820.2
5.11667	325156	-	-	7.53333	75305.8	5.7	73802.1
5.15	325448	-	-	7.58333	75029.6	5.73333	73806.1
5.2	325149	-	-	7.65	74921.5	5.78333	73793.1
5.23333	324367	-	-	7.7	74671	5.81667	73471.7
5.26667	324601	-	-	7.75	74355.4	5.86667	73412.2
5.31667	323866	-	-	7.83333	74262.4	5.9	73309.8
5.35	322994	-	-	7.9	73981.6	5.95	73139.3
5.38333	322674	-	-	7.96667	73834	5.98333	71282.4
5.43333	320505	-	-	8.01667	73584	6.03333	71253.2
5.46667	320707	-	-	8.06667	71803.9	6.06667	71008.2
5.5	320272	-	-	8.13333	71743.5	6.11667	70949.5
5.55	320513	-	-	8.18333	71555	6.15	70674.8
5.58333	320469	-	-	8.23333	71438.5	6.2	70506.8
5.61667	320730	-	-	8.3	71203.9	6.23333	70465.6
5.66667	320958	-	-	8.35	71143.7	6.28333	70391.2
5.7	321039	-	-	8.4	71027.9	6.31667	70371.2
5.73333	319794	-	-	8.46667	69016.6	6.36667	70357.6
5.78333	319173	-	-	8.51667	68916.9	6.4	70382.8
5.81667	319467	-	-	8.58333	68663.4	6.45	70172.6
5.85	319595	-	-	8.63333	68581.6	6.48333	70177.7
5.88333	319551	-	-	8.7	68467.4	6.53333	70159
5.93333	319154	-	-	8.76667	68187.1	6.58333	70047.1
5.96667	319484	-	-	8.81667	68148.1	6.61667	68083.2
6	317695	-	-	8.86667	67792.4	6.66667	67892.9
6.05	317971	-	-	8.93333	67835.8	6.7	67785
6.08333	317138	-	-	8.98333	67727.4	6.75	67600.3
6.11667	316941	-	-	9.03333	67722.7	6.78333	67394.5
6.16667	316289	-	-	9.1	65642.7	6.81667	65061.4
6.2	316396	-	-	9.15	65529.7	6.86667	64932.5
6.23333	316099	-	-	9.21667	65485.1	6.91667	64840
6.28333	315793	-	-	9.26667	65265	6.95	64772.1
6.31667	314613	-	-	9.31667	65204	7	64681.2
6.35	313898	-	-	9.38333	65167.8	7.03333	64449.7
6.4	313965	-	-	9.43333	65047.9	7.06667	64270.6
6.43333	314060	-	-	9.48333	64934.2	7.11667	64070.4
6.46667	314228	-	-	9.55	64794.8	7.16667	64066.3
6.5	312254	-	-	9.6	64773	7.2	64089.1
6.55	312534	-	-	9.65	64588.3	7.25	63887.3
6.58333	312583	-	-	9.71667	64517	7.28333	63724.6
